INFO:numexpr.utils:2025-05-18 18:38:10,517:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:11,056:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:11,056:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:11,056:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:11,059:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:11,059:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:11,060:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:15,712:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:16,160:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:16,160:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:16,160:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:16,161:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:16,161:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:16,161:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:16,629:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:17,077:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:17,077:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:17,077:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:17,078:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:17,078:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:17,078:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:17,498:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:17,986:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:17,987:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:17,987:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:18,454:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:19,099:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:19,099:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:19,099:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:19,100:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:19,100:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:19,101:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:19,565:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:20,102:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:20,102:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:20,102:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:20,523:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:21,068:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:21,069:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:21,069:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:21,069:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:21,069:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:21,070:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:21,659:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:22,236:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:22,236:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:22,236:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:22,732:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:23,247:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:23,247:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:23,248:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:23,248:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:23,248:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:23,248:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:23,547:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:24,000:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:24,000:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:24,000:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:24,299:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:24,753:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:24,753:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:24,753:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:24,754:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:24,754:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:24,754:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:25,027:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:25,485:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:25,485:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:25,485:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:25,485:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:25,485:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:25,486:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:25,801:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:26,244:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:26,244:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:26,244:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:26,244:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:26,244:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:26,244:Initialising lynguine.assess.Interface object.
